route_long_name,route_short_name,agency_id,route_type,route_id
,EC,13,2,13
,EC,2,2,37
,EC,6,2,35
,EC,7,2,36
,EC 62,11,2,55
,EC 62,13,2,14
,EC 85,11,2,90
,EC 89,11,2,63
,EC 95,11,2,5
,EC 95,5,2,15
,EC 96,11,2,56
,EC 96,5,2,82
,EC 97,11,2,70
,ECE,9,2,57
,ECE 20,11,2,31
,ECE 27,11,2,24
,ECE 75,11,2,83
,ECE 85,11,2,75
,ECE 88,11,2,84
,EN,10,2,92
,EN,13,2,46
,EN,2,2,91
,EN,5,2,28
,EN,7,2,64
,IC,12,2,6
,IC,13,2,76
,IC,2,2,65
,IC,4,2,9
,IC,5,2,10
,IC,6,2,8
,IC,9,2,71
,IC 17,11,2,72
,IC 24,11,2,7
,IC 33,11,2,52
,IC 34,11,2,29
,IC 35,11,2,11
,IC 51,11,2,12
,IC 55,11,2,41
,IC 56,11,2,47
,IC 57,11,2,32
,IC 60,11,2,78
,IC 61,11,2,33
,IC 76,11,2,66
,IC 87,11,2,67
,ICE,1,2,77
,ICE,13,2,49
,ICE,6,2,38
,ICE 1,11,2,58
,ICE 10,11,2,48
,ICE 11,11,2,50
,ICE 12,11,2,1
,ICE 13,11,2,59
,ICE 14,11,2,60
,ICE 15,11,2,73
,ICE 16,11,2,79
,ICE 17,11,2,61
,ICE 18,11,2,68
,ICE 20,11,2,53
,ICE 22,11,2,87
,ICE 23,11,2,42
,ICE 24,11,2,25
,ICE 25,11,2,39
,ICE 26,11,2,26
,ICE 28,11,2,43
,ICE 29,11,2,80
,ICE 3,11,2,85
,ICE 33,11,2,20
,ICE 4,11,2,44
,ICE 41,11,2,21
,ICE 42,11,2,51
,ICE 43,11,2,69
,ICE 45,11,2,45
,ICE 47,11,2,54
,ICE 49,11,2,2
,ICE 50,11,2,22
,ICE 51,11,2,74
,ICE 55,11,2,3
,ICE 6,11,2,16
,ICE 60,11,2,88
,ICE 62,11,2,17
,ICE 77,11,2,34
,ICE 78,11,2,89
,ICE 79,11,2,86
,ICE 82,11,2,30
,ICE 82,3,2,18
,ICE 83,11,2,27
,ICE 83,3,2,19
,ICE 91,11,2,40
,RJ,10,2,4
,RJ,13,2,81
,RJ,2,2,62
,RJ,8,2,23
