stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
's-Hertogenbosch,,634948,51.69054,5.293723,1,
's-Hertogenbosch,634948,118081,51.69054,5.293723,,
Aachen Hbf,602780,460593,50.7678,6.091499,,
Aachen Süd(Gr),,135981,50.731915,6.04541,1,
Aachen Süd(Gr),135981,549453,50.731915,6.04541,,
"Aachen, Hbf",,602780,50.767723,6.092051,1,
Aalen Hbf,159965,643847,48.841015,10.096271,,
"Aalen, Hauptbahnhof",,159965,48.841602,10.096031,1,
Altena(Westf),589537,422314,51.301983,7.668808,,
"Altena, Bahnhof",,589537,51.301983,7.66881,1,
Altenbeken,,1607,51.766434,8.943322,1,
Altenbeken,1607,679270,51.766434,8.943319,,
Amersfoort Centraal,,7317,52.153465,5.373909,1,
Amersfoort Centraal,7317,633036,52.153465,5.373909,,
Amsterdam Centraal,,621960,52.37919,4.899431,1,
Amsterdam Centraal,621960,8591,52.37919,4.899431,,
Andernach,153862,394407,50.434544,7.404839,,
Andernach Bahnhof,,153862,50.434544,7.40484,1,
Angermünde,601272,144909,53.01574,13.995672,,5
Angermünde,601272,241558,53.015793,13.995908,,3
"Angermünde, Bahnhof",,601272,53.015823,13.995871,1,
Anklam,,518156,53.855984,13.701563,1,
Anklam,518156,213383,53.856102,13.701827,,
Ansbach,,414526,49.29803,10.578246,1,
Ansbach,414526,606069,49.29803,10.578239,,
Apeldoorn,,372916,52.20943,5.968491,1,
Apeldoorn,372916,36148,52.20943,5.968491,,
Arnhem Centraal,,652120,51.98478,5.901003,1,
Arnhem Centraal,652120,301724,51.98478,5.901003,,
Aschaffenburg Hbf,,205235,49.980556,9.1437,1,
Aschaffenburg Hbf,205235,675580,49.980556,9.143697,,
Augsburg Hbf,,197714,48.36544,10.885569,1,
Augsburg Hbf,197714,171493,48.36544,10.88557,,
Augustfehn,,204482,53.220894,7.759677,1,
Augustfehn,204482,257778,53.22084,7.759684,,
Bad Bentheim,145331,495359,52.30985,7.158539,,
Bad Bentheim Bahnhof,,145331,52.30953,7.158737,1,
Bad Bentheim(Gr),,462531,52.3091,7.04016,1,
Bad Bentheim(Gr),462531,256178,52.3091,7.04016,,
Bad Gastein,,398106,47.11178,13.131924,1,
Bad Gastein,398106,69258,47.11178,13.131924,,
Bad Hersfeld,,507305,50.869766,9.716581,1,
Bad Hersfeld,507305,22552,50.869766,9.716581,,
Bad Hofgastein,,80317,47.195343,13.100503,1,
Bad Hofgastein,80317,581810,47.195343,13.100503,,
Bad Kleinen,101904,151733,53.766975,11.466925,,
Bad Kleinen Bahnhof,,101904,53.76746,11.466429,1,
Bad Nauheim,63076,484962,50.367905,8.749334,,
Bad Nauheim Bahnhof,,63076,50.367798,8.748327,1,
Bad Oeynhausen,25550,218057,52.2054,8.796523,,
"Bad Oeynhausen, Bf/ZOB",,25550,52.2054,8.796519,1,
Bad Zwischenahn,,467456,53.182568,8.002996,1,
Bad Zwischenahn,467456,78112,53.18242,8.003398,,
Baden(CH),,107303,47.476425,8.307709,1,
Baden(CH),107303,133676,47.476425,8.307709,,
Baden-Baden,,505512,48.7902,8.191036,1,
Baden-Baden,505512,370779,48.790325,8.190831,,
Bamberg,,33140,49.90076,10.899484,1,
Bamberg,33140,159010,49.90076,10.899489,,
Basel Bad Bf,,486516,47.567287,7.607805,1,
Basel Bad Bf,486516,63864,47.567287,7.607805,,
Basel SBB,,489664,47.547413,7.589563,1,
Basel SBB,489664,99292,47.547413,7.589563,,
Bebra,,466172,50.969566,9.797788,1,
Bebra,466172,233446,50.969566,9.797788,,
Bensheim,515947,165589,49.681328,8.616717,,
"Bensheim, Bahnhof",,515947,49.68095,8.616766,1,
Bergen Bahnhof,,619516,54.420822,13.418737,1,
Bergen auf Rügen,619516,258436,54.4205,13.417821,,
Berlin Gesundbrunnen,582378,212891,52.54869,13.390501,,7
